date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,bowler_one,bowler_one_wicket,bowler_two,bowler_two_wicket,batter_one,batter_one_score,batter_two,batter_two_score
1996-02-26,Patna,League-Match,ZIM,KENYA,,,NA,NA,NA,1996,India,abandoned,NA,NA,0,NA,0,NA,0,NA,0
NA,Bengaluru,League-Match,IND,PAK,,,,,Navjot Sidhu,1996,India,played,India,NA,0,NA,0,NA,0,NA,0
1996-02-24,Gujranwala,League-Match,UAE,PAK,,,,,Mushtaq Ahmed,1996,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1996-03-05,Rawalpindi,League-Match,SA,NED,,,,,Andrew Hudson,1996,Pakistan,played,South Africa,NA,0,NA,0,NA,0,NA,0
1996-02-21,Colombo (SSC),League-Match,ZIM,SL,,,,,Aravinda de Silva,1996,Sri Lanka,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
NA,Lahore,League-Match,NED,PAK,,,,,Waqar Younis,1996,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1996-03-03,Karachi,League-Match,ENG,PAK,,,,,Aamer Sohail,1996,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Peshawar,League-Match,UAE,ENG,,,,,Neil Smith,1996,Pakistan,played,England,NA,0,NA,0,NA,0,NA,0
NA,Karachi,League-Match,PAK,SA,,,,,Hansie Cronje,1996,Pakistan,played,South Africa,NA,0,NA,0,NA,0,NA,0
1996-02-27,Patna,League-Match,KENYA,ZIM,,,,,Paul Strang,1996,India,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
1996-02-20,Faisalabad,League-Match,NZ,SA,,,,,Hansie Cronje,1996,Pakistan,played,South Africa,NA,0,NA,0,NA,0,NA,0
NA,Kandy,League-Match,SL,KENYA,,,,,Aravinda de Silva,1996,India,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
1996-02-14,Ahmedabad,League-Match,NZ,ENG,,,,,Nathan Astle,1996,India,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1996-03-02,Delhi,League-Match,IND,SL,,,,,Sanath Jayasuriya,1996,India,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
1996-03-06,Kanpur,League-Match,IND,ZIM,,,,,Ajay Jadeja,1996,India,played,India,NA,0,NA,0,NA,0,NA,0
1996-02-29,Pune,League-Match,KENYA,WI,,,,,Maurice Odumbe,1996,India,played,Kenya,NA,0,NA,0,NA,0,NA,0
1996-02-18,Cuttack,League-Match,KENYA,IND,,,,,Sachin Tendulkar,1996,India,played,India,NA,0,NA,0,NA,0,NA,0
1996-03-09,Faisalabad,League-Match,ENG,SL,,,,,Sanath Jayasuriya,1996,Pakistan,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
1996-02-22,Peshawar,League-Match,ENG,NED,,,,,Graeme Hick,1996,Pakistan,played,England,NA,0,NA,0,NA,0,NA,0
1996-03-01,Nagpur,League-Match,ZIM,AUS,,,,,Shane Warne,1996,India,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,Lahore,League-Match,NED,UAE,,,,,Saleem Raza,1996,Pakistan,played,NA,NA,0,NA,0,NA,0,NA,0
1999-05-17,Chelmsford,League-Match,BAN,NZ,,,,,Gavin Larsen,1999,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1999-06-20,Lord's,Final,PAK,AUS,,,,,Shane Warne,1999,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1999-05-26,Amstelveen,League-Match,KENYA,SA,,,,,Lance Klusener,1999,England,played,South Africa,NA,0,NA,0,NA,0,NA,0
1999-06-11,The Oval,League-Match,PAK,ZIM,,,,,Saeed Anwar,1999,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1999-05-23,Bristol,League-Match,IND,KENYA,,,,,Sachin Tendulkar,1999,England,played,India,NA,0,NA,0,NA,0,NA,0
1999-06-08,Manchester,League-Match,IND,PAK,,,,,Venkatesh Prasad,1999,England,played,India,NA,0,NA,0,NA,0,NA,0
1999-06-09,Lord's,League-Match,AUS,ZIM,,,,,Neil Johnson,1999,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1999-06-04,The Oval,League-Match,AUS,IND,,,,,Glenn McGrath,1999,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1999-05-20,Cardiff,League-Match,AUS,NZ,,,,,Roger Twose,1999,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1999-06-12,Nottingham,League-Match,IND,NZ,,,,,Roger Twose,1999,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Edinburgh,League-Match,SCOT,NZ,,,,,Geoff Allott,1999,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1999-05-14,Lord's,League-Match,SL,ENG,,,,,Alec Stewart,1999,England,played,England,NA,0,NA,0,NA,0,NA,0
1999-05-27,Chester-le-Street,League-Match,BAN,AUS,,,,,Tom Moody,1999,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1999-06-16,Manchester,Semi-Final,NZ,PAK,,,,,Shoaib Akhtar,1999,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Northampton,League-Match,SA,SL,,,,,Lance Klusener,1999,England,played,South Africa,NA,0,NA,0,NA,0,NA,0
1999-05-28,Derby,League-Match,PAK,NZ,,,,,Inzamam-ul-Haq,1999,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1999-06-13,Leeds,League-Match,SA,AUS,,,,,Steve Waugh,1999,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1999-06-10,Birmingham,League-Match,SA,NZ,,,,,Jacques Kallis,1999,England,played,South Africa,NA,0,NA,0,NA,0,NA,0
1999-05-29,Birmingham,League-Match,IND,ENG,,,,,Sourav Ganguly,1999,England,played,India,NA,0,NA,0,NA,0,NA,0
1999-06-17,Birmingham,Semi-Final,AUS,SA,,,,,Shane Warne,1999,England,played,NA,NA,0,NA,0,NA,0,NA,0
1999-05-16,Worcester,League-Match,SCOT,AUS,,,,,Mark Waugh,1999,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1999-06-06,Leeds,League-Match,ZIM,NZ,,,,,NA,1999,England,abandoned,NA,NA,0,NA,0,NA,0,NA,0
1999-05-30,Southampton,League-Match,SL,KENYA,,,,,Maurice Odumbe,1999,England,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
1999-05-15,Hove,League-Match,IND,SA,,,,,Jacques Kallis,1999,England,played,South Africa,NA,0,NA,0,NA,0,NA,0
NA,Chester-le-Street,League-Match,PAK,SCOT,,,,,Mohammad Yousuf,1999,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1999-06-05,Nottingham,League-Match,PAK,SA,,,,,Lance Klusener,1999,England,played,South Africa,NA,0,NA,0,NA,0,NA,0
NA,Taunton,League-Match,IND,SL,,,,,Sourav Ganguly,1999,England,played,India,NA,0,NA,0,NA,0,NA,0
1999-05-31,Northampton,League-Match,BAN,PAK,,,,,Khaled Mahmud,1999,England,played,Bangladesh,NA,0,NA,0,NA,0,NA,0
1999-05-22,The Oval,League-Match,SA,ENG,,,,,Lance Klusener,1999,England,played,South Africa,NA,0,NA,0,NA,0,NA,0
1999-05-21,Dublin,League-Match,BAN,WI,,,,,Courtney Walsh,1999,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1999-05-24,Edinburgh,League-Match,BAN,SCOT,,,,,Minhajul Abedin,1999,England,played,Bangladesh,NA,0,NA,0,NA,0,NA,0
1999-05-25,Nottingham,League-Match,ZIM,ENG,,,,,Alan Mullally,1999,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Leicester,League-Match,SCOT,WI,,,,,Courtney Walsh,1999,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1999-05-19,Leicester,League-Match,ZIM,IND,,,,,Grant Flower,1999,England,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
NA,Taunton,League-Match,KENYA,ZIM,,,,,Neil Johnson,1999,England,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
NA,Worcester,League-Match,ZIM,SL,,,,,Marvan Atapattu,1999,England,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
1999-05-18,Canterbury,League-Match,KENYA,ENG,,,,,Steve Tikolo,1999,England,played,England,NA,0,NA,0,NA,0,NA,0
NA,Gqeberha,League-Match,ENG,NAM,,,,,Jan-Berrie Burger,2003,South Africa,played,England,NA,0,NA,0,NA,0,NA,0
2003-02-19,Harare,League-Match,IND,ZIM,,,,,Sachin Tendulkar,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
2003-03-14,Centurion,League-Match,NZ,IND,,,,,Zaheer Khan,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
2003-02-20,Potchefstroom,League-Match,AUS,NED,,,,,Damien Martyn,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-03-23,Johannesburg,Final,AUS,IND,,,,,Ricky Ponting,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-03-04,Bulawayo,League-Match,PAK,ZIM,,,NA,NA,NA,2003,South Africa,abandoned,NA,NA,0,NA,0,NA,0,NA,0
NA,Kimberley,League-Match,PAK,NAM,,,,,Wasim Akram,2003,South Africa,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Durban,League-Match,KENYA,AUS,,,,,Aasif Karim,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-03-20,Durban,Semi-Final,IND,KENYA,,,,,Sourav Ganguly,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
NA,Durban,League-Match,SL,SA,,,,,Marvan Atapattu,2003,South Africa,played,NA,NA,0,NA,0,NA,0,NA,0
2003-02-10,Harare,League-Match,ZIM,NAM,,,,,Craig Wishart,2003,South Africa,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
NA,Cape Town,League-Match,CAN,KENYA,,,,,Thomas Odoyo,2003,South Africa,played,Kenya,NA,0,NA,0,NA,0,NA,0
2003-02-27,Potchefstroom,League-Match,AUS,NAM,,,,,Glenn McGrath,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,Durban,League-Match,IND,ENG,,,,,Ashish Nehra,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
2003-02-26,Kimberley,League-Match,BAN,NZ,,,,,Craig McMillan,2003,South Africa,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Centurion,League-Match,PAK,IND,,,,,Sachin Tendulkar,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
NA,Bloemfontein,League-Match,NED,NAM,,,,,Feiko Kloppenburg,2003,South Africa,played,Netherlands,NA,0,NA,0,NA,0,NA,0
NA,East London,League-Match,SA,CAN,,,,,Boeta Dippenaar,2003,South Africa,played,South Africa,NA,0,NA,0,NA,0,NA,0
2003-02-18,Benoni,League-Match,WI,BAN,,,,,NA,2003,South Africa,abandoned,NA,NA,0,NA,0,NA,0,NA,0
2003-02-25,Paarl,League-Match,PAK,NED,,,,,Mohammad Yousuf,2003,South Africa,played,Pakistan,NA,0,NA,0,NA,0,NA,0
2003-03-10,Johannesburg,League-Match,IND,SL,,,,,Javagal Srinath,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
2003-02-21,Nairobi (Gym),League-Match,KENYA,NZ,NA,NA,NA,NA,NA,2003,South Africa,played,Kenya,NA,0,NA,0,NA,0,NA,0
2003-02-14,Pietermaritzburg,League-Match,BAN,SL,,,,,Chaminda Vaas,2003,South Africa,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
NA,Johannesburg,League-Match,SA,NZ,,,,,Stephen Fleming,2003,South Africa,played,New Zealand,NA,0,NA,0,NA,0,NA,0
2003-02-24,Nairobi (Gym),League-Match,KENYA,SL,,,,,Collins Obuya,2003,South Africa,played,Kenya,NA,0,NA,0,NA,0,NA,0
2003-02-22,Bloemfontein,League-Match,BAN,SA,,,,,Makhaya Ntini,2003,South Africa,played,South Africa,NA,0,NA,0,NA,0,NA,0
2003-03-07,Centurion,League-Match,AUS,SL,,,,,Ricky Ponting,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-02-15,Centurion,League-Match,IND,AUS,,,,,Jason Gillespie,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-03-12,Bloemfontein,League-Match,ZIM,KENYA,,,,,Martin Suji,2003,South Africa,played,Kenya,NA,0,NA,0,NA,0,NA,0
2003-02-16,East London,League-Match,NED,ENG,,,,,James Anderson,2003,South Africa,played,England,NA,0,NA,0,NA,0,NA,0
2003-03-18,Gqeberha,Semi-Final,AUS,SL,,,,,Andrew Symonds,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-02-09,Cape Town,League-Match,WI,SA,,,,,Brian Lara,2003,South Africa,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA,Cape Town,League-Match,KENYA,IND,,,,,Sourav Ganguly,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
2003-03-11,Gqeberha,League-Match,AUS,NZ,,,,,Shane Bond,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,Paarl,League-Match,IND,NED,,,,,Tim de Leede,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
2003-03-03,Benoni,League-Match,CAN,NZ,,,,,John Davison,2003,South Africa,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Durban,League-Match,CAN,BAN,,,,,Austin Codrington,2003,South Africa,played,Canada,NA,0,NA,0,NA,0,NA,0
2003-02-12,Potchefstroom,League-Match,KENYA,SA,,,,,Lance Klusener,2003,South Africa,played,South Africa,NA,0,NA,0,NA,0,NA,0
NA,Pietermaritzburg,League-Match,IND,NAM,,,,,Sachin Tendulkar,2003,South Africa,played,India,NA,0,NA,0,NA,0,NA,0
2003-03-15,East London,League-Match,SL,ZIM,,,,,Marvan Atapattu,2003,South Africa,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
2003-02-13,Harare,League-Match,ZIM,ENG,NA,NA,NA,NA,NA,2003,South Africa,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
2003-03-02,Gqeberha,League-Match,ENG,AUS,,,,,Andy Bichel,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-02-28,Bulawayo,League-Match,ZIM,NED,,,,,Heath Streak,2003,South Africa,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
2003-03-01,Johannesburg,League-Match,KENYA,BAN,,,,,Maurice Odumbe,2003,South Africa,played,Kenya,NA,0,NA,0,NA,0,NA,0
2003-02-23,Centurion,League-Match,CAN,WI,,,,,John Davison,2003,South Africa,played,West Indies,NA,0,NA,0,NA,0,NA,0
2003-02-11,Johannesburg,League-Match,AUS,PAK,,,,,Andrew Symonds,2003,South Africa,played,Australia,NA,0,NA,0,NA,0,NA,0
2003-03-08,Bloemfontein,League-Match,ZIM,NZ,,,,,Nathan Astle,2003,South Africa,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Paarl,League-Match,CAN,SL,,,,,Prabath Nissanka,2003,South Africa,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
NA,Kimberley,League-Match,WI,KENYA,,,,,Vasbert Drakes,2003,South Africa,played,West Indies,NA,0,NA,0,NA,0,NA,0
2007-03-31,North Sound,League-Match,BAN,AUS,,,,,Glenn McGrath,2007,West Indies,played,Australia,GD McGrath,3,NW Bracken,2,AC Gilchrist,59,ML Hayden,47
NA,Kingston,League-Match,PAK,ZIM,,,,,Imran Nazir,2007,West Indies,played,Pakistan,Shahid Afridi,3,GB Brent,3,Imran Nazir,160,Inzamam-ul-Haq,37
2007-04-19,Bridgetown,League-Match,WI,BAN,,,,,Ramnaresh Sarwan,2007,West Indies,played,NA,DBL Powell,3,CD Collymore,2,RR Sarwan,91,S Chanderpaul,50
2007-04-24,Kingston,Semi-Final,SL,NZ,,,,,Mahela Jayawardene,2007,West Indies,played,Sri Lanka,M Muralidaran,4,TM Dilshan,2,DPMD Jayawardene,115,WU Tharanga,73
2007-03-28,Providence,League-Match,SL,SA,,,,,Charl Langeveldt,2007,West Indies,played,South Africa,CK Langeveldt,5,SL Malinga,4,JH Kallis,86,GC Smith,59
NA,Kingston,League-Match,IRE,WI,,,,,Shivnarine Chanderpaul,2007,West Indies,played,West Indies,CH Gayle,2,DBL Powell,2,S Chanderpaul,102,JP Bray,41
2007-04-18,St George's,League-Match,IRE,SL,,,,,Farveez Maharoof,2007,West Indies,played,Sri Lanka,MF Maharoof,4,M Muralidaran,4,DPMD Jayawardene,39,ST Jayasuriya,24
2007-04-20,St George's,League-Match,AUS,NZ,,,,,Matthew Hayden,2007,West Indies,played,NA,GB Hogg,4,SW Tait,3,ML Hayden,103,RT Ponting,66
2007-03-20,Basseterre,League-Match,SCOT,SA,,,,,Graeme Smith,2007,West Indies,played,South Africa,AJ Hall,3,CK Langeveldt,2,GC Smith,91,AB de Villiers,62
2007-03-14,Basseterre,League-Match,AUS,SCOT,,,,,Ricky Ponting,2007,West Indies,played,Australia,GD McGrath,3,SW Tait,2,RT Ponting,113,ML Hayden,60
NA,Gros Islet,League-Match,ENG,NZ,,,,,Scott Styris,2007,West Indies,played,New Zealand,SE Bond,2,SB Styris,2,SB Styris,87,JDP Oram,63
2007-04-09,Providence,League-Match,NZ,IRE,,,,,Peter Fulton,2007,West Indies,played,New Zealand,DL Vettori,4,WK McCallan,2,PG Fulton,83,"""KJ OBrien",49
2007-04-17,Bridgetown,League-Match,ENG,SA,,,,,Andrew Hall,2007,West Indies,played,South Africa,AJ Hall,5,A Nel,3,GC Smith,89,AJ Strauss,46
2007-04-28,Bridgetown,Final,AUS,SL,,,,,Adam Gilchrist,2007,West Indies,played,Australia,SL Malinga,2,MJ Clarke,2,AC Gilchrist,149,ST Jayasuriya,63
NA,Kingston,League-Match,IRE,ZIM,,,,,Jeremy Bray,2007,West Indies,played,NA,E Chigumbura,2,GB Brent,2,JP Bray,115,S Matsikenyeri,73
2007-03-25,Port of Spain,League-Match,BER,BAN,,,,,Mohammad Ashraful,2007,West Indies,played,Bangladesh,S Mukuddem,3,Abdur Razzak,3,Mohammad Ashraful,29,Shakib Al Hasan,26
2007-03-23,Port of Spain,League-Match,SL,IND,,,,,Muthiah Muralidaran,2007,West Indies,played,Sri Lanka,M Muralidaran,3,WPUJC Vaas,2,WU Tharanga,64,R Dravid,60
2007-03-21,Port of Spain,League-Match,SL,BAN,,,,,Sanath Jayasuriya,2007,West Indies,played,Sri Lanka,SL Malinga,3,WPUJC Vaas,1,ST Jayasuriya,109,KC Sangakkara,56
2007-03-27,North Sound,League-Match,AUS,WI,,,,,Matthew Hayden,2007,West Indies,played,Australia,GD McGrath,3,GB Hogg,3,ML Hayden,158,BC Lara,77
2007-03-24,Basseterre,League-Match,AUS,SA,,,,,Matthew Hayden,2007,West Indies,played,Australia,GB Hogg,3,NW Bracken,2,ML Hayden,101,AB de Villiers,92
2007-04-01,Providence,League-Match,SL,WI,,,,,Sanath Jayasuriya,2007,West Indies,played,Sri Lanka,ST Jayasuriya,3,WPUJC Vaas,2,ST Jayasuriya,115,DPMD Jayawardene,82
2007-03-13,Kingston,League-Match,WI,PAK,,,,,Dwayne Smith,2007,West Indies,played,West Indies,DR Smith,3,Iftikhar Anjum,3,MN Samuels,63,Shoaib Malik,62
2007-03-30,Providence,League-Match,ENG,IRE,,,,,Paul Collingwood,2007,West Indies,played,England,A Flintoff,4,MS Panesar,2,PD Collingwood,90,"""NJ OBrien",63
2007-03-15,Port of Spain,League-Match,SL,BER,,,,,Mahela Jayawardene,2007,West Indies,played,Sri Lanka,MF Maharoof,4,SL Malinga,3,DPMD Jayawardene,85,KC Sangakkara,76
NA,Gros Islet,League-Match,KENYA,ENG,,,,,Ed Joyce,2007,West Indies,played,England,JM Anderson,2,A Flintoff,2,SO Tikolo,76,EC Joyce,75
2007-04-25,Gros Islet,Semi-Final,SA,AUS,,,,,Glenn McGrath,2007,West Indies,played,Australia,SW Tait,4,GD McGrath,3,MJ Clarke,60,JM Kemp,49
2007-03-16,Basseterre,League-Match,SA,NED,,,,,Herschelle Gibbs,2007,West Indies,played,South Africa,JM Kemp,2,SM Pollock,1,JH Kallis,128,MV Boucher,75
NA,Gros Islet,League-Match,ENG,CAN,,,,,Paul Collingwood,2007,West Indies,played,England,S Dhaniram,3,RS Bopara,2,EC Joyce,66,PD Collingwood,62
NA,Gros Islet,League-Match,NZ,CAN,,,,,Lou Vincent,2007,West Indies,played,New Zealand,JS Patel,3,DL Vettori,3,L Vincent,101,SP Fleming,66
2007-04-08,North Sound,League-Match,ENG,AUS,,,,,Shaun Tait,2007,West Indies,played,Australia,NW Bracken,3,SW Tait,3,KP Pietersen,104,RT Ponting,86
NA,Gros Islet,League-Match,NZ,KENYA,,,,,Ross Taylor,2007,West Indies,played,New Zealand,JEC Franklin,2,MJ Mason,2,LRPL Taylor,85,CD McMillan,71
2007-04-03,Providence,League-Match,IRE,SA,,,,,Jacques Kallis,2007,West Indies,played,South Africa,CK Langeveldt,3,SM Pollock,2,JH Kallis,66,AG Prince,47
2007-04-02,North Sound,League-Match,BAN,NZ,,,,,Shane Bond,2007,West Indies,played,New Zealand,SB Styris,4,JDP Oram,3,SP Fleming,102,HJH Marshall,50
2007-04-14,St George's,League-Match,SA,NZ,,,,,Craig McMillan,2007,West Indies,played,New Zealand,CD McMillan,3,SE Bond,2,HH Gibbs,60,SB Styris,56
2007-04-07,Providence,League-Match,BAN,SA,,,,,Mohammad Ashraful,2007,West Indies,played,Bangladesh,A Nel,5,Abdur Razzak,3,Mohammad Ashraful,87,HH Gibbs,56
2007-03-18,Basseterre,League-Match,AUS,NED,,,,,Brad Hodge,2007,West Indies,played,Australia,GB Hogg,4,TBM de Leede,2,BJ Hodge,123,MJ Clarke,93
2007-04-10,St George's,League-Match,SA,WI,,,,,AB de Villiers,2007,West Indies,played,South Africa,CD Collymore,2,SM Pollock,2,AB de Villiers,146,RR Sarwan,92
2007-03-17,Port of Spain,League-Match,IND,BAN,,,,,Mashrafe Mortaza,2007,West Indies,played,Bangladesh,Mashrafe Mortaza,4,Mohammad Rafique,3,SC Ganguly,66,Mushfiqur Rahim,56
2007-03-22,Basseterre,League-Match,SCOT,NED,,,,,Billy Stelling,2007,West Indies,played,Netherlands,WF Stelling,3,Mohammad Kashif,2,RN ten Doeschate,70,B Zuiderent,43
2007-03-29,North Sound,League-Match,WI,NZ,,,,,Jacob Oram,2007,West Indies,played,New Zealand,JDP Oram,3,SE Bond,3,SB Styris,80,SP Fleming,45
NA,Kingston,League-Match,PAK,IRE,,,,,Niall O'Brien,2007,West Indies,played,Ireland,Mohammad Sami,3,WB Rankin,3,"""NJ OBrien",72,Kamran Akmal,27
2007-04-04,North Sound,League-Match,SL,ENG,,,,,Ravi Bopara,2007,West Indies,played,Sri Lanka,SI Mahmood,4,A Flintoff,3,WU Tharanga,62,KP Pietersen,58
2007-04-12,St George's,League-Match,NZ,SL,,,,,Chaminda Vaas,2007,West Indies,played,Sri Lanka,M Muralidaran,3,WPUJC Vaas,3,SB Styris,111,KC Sangakkara,69
2007-04-11,Bridgetown,League-Match,BAN,ENG,,,,,Sajid Mahmood,2007,West Indies,played,England,SI Mahmood,3,MS Panesar,3,Shakib Al Hasan,57,MP Vaughan,30
2007-04-16,St George's,League-Match,SL,AUS,,,,,Nathan Bracken,2007,West Indies,played,Australia,NW Bracken,4,GB Hogg,2,DPMD Jayawardene,72,RT Ponting,66
2007-04-21,Bridgetown,League-Match,WI,ENG,,,,,Kevin Pietersen,2007,West Indies,played,England,MP Vaughan,3,DJ Bravo,2,KP Pietersen,100,CH Gayle,79
2007-03-19,Port of Spain,League-Match,IND,BER,,,,,Virender Sehwag,2007,West Indies,played,India,AB Agarkar,3,A Kumble,3,V Sehwag,114,SC Ganguly,89
2007-04-15,Bridgetown,League-Match,IRE,BAN,,,,,William Porterfield,2007,West Indies,played,Ireland,D Langford-Smith,2,WK McCallan,2,WTS Porterfield,85,"""KJ OBrien",48
2007-04-13,Bridgetown,League-Match,IRE,AUS,,,,,Glenn McGrath,2007,West Indies,played,Australia,GD McGrath,3,SW Tait,3,AC Gilchrist,34,MEK Hussey,30
2011-02-21,Ahmedabad,League-Match,AUS,ZIM,,,,,Shane Watson,2011,India,played,Australia,MG Johnson,4,JJ Krejza,2,SR Watson,79,MJ Clarke,58
2011-04-02,Wankhede,Final,SL,IND,,,,,MS Dhoni,2011,India,played,India,SL Malinga,2,Yuvraj Singh,2,DPMD Jayawardene,103,G Gambhir,97
2011-03-12,Nagpur,League-Match,IND,SA,,,,,Dale Steyn,2011,India,played,South Africa,DW Steyn,5,Harbhajan Singh,3,SR Tendulkar,111,V Sehwag,73
2011-03-20,Eden Gardens,League-Match,ZIM,KENYA,,,,,Craig Ervine,2011,India,played,Zimbabwe,RW Price,2,GA Lamb,2,CR Ervine,66,V Sibanda,61
2011-03-17,Chennai,League-Match,ENG,WI,,,,,James Tredwell,2011,India,played,England,JC Tredwell,4,AD Russell,4,AD Russell,49,IJL Trott,47
2011-02-20,Chennai,League-Match,KENYA,NZ,,,,,Hamish Bennett,2011,India,played,New Zealand,HK Bennett,4,JDP Oram,3,MJ Guptill,39,BB McCullum,26
2011-03-23,Mirpur,Final,WI,PAK,,,,,Mohammad Hafeez,2011,Bangladesh,played,Pakistan,Shahid Afridi,4,Mohammad Hafeez,2,Mohammad Hafeez,61,Kamran Akmal,47
2011-03-01,Colombo (RPS),League-Match,KENYA,SL,,,,,Lasith Malinga,2011,Sri Lanka,played,Sri Lanka,SL Malinga,6,KMDN Kulasekara,1,WU Tharanga,67,CO Obuya,52
2011-03-18,Eden Gardens,League-Match,NED,IRE,,,,,Paul Stirling,2011,India,played,Ireland,TLW Cooper,2,PR Stirling,2,RN ten Doeschate,106,PR Stirling,101
NA,Colombo (RPS),League-Match,PAK,CAN,,,,,Shahid Afridi,2011,Sri Lanka,played,Pakistan,Shahid Afridi,5,HS Baidwan,3,Umar Akmal,48,AS Hansra,43
2011-02-19,Mirpur,League-Match,IND,BAN,,,,,Virender Sehwag,2011,Bangladesh,played,India,MM Patel,4,Z Khan,2,V Sehwag,175,V Kohli,100
NA,Delhi,League-Match,WI,NED,,,,,Kemar Roach,2011,India,played,West Indies,KAJ Roach,6,SJ Benn,3,CH Gayle,80,KA Pollard,60
2011-03-26,Colombo (RPS),Final,ENG,SL,,,,,Tillakaratne Dilshan,2011,Sri Lanka,played,Sri Lanka,M Muralidaran,2,BAW Mendis,1,TM Dilshan,108,WU Tharanga,102
NA,Bengaluru,League-Match,AUS,KENYA,,,,,Collins Obuya,2011,India,played,Australia,NN Odhiambo,3,JK Kamande,2,CO Obuya,98,MJ Clarke,93
2011-03-11,Mohali,League-Match,WI,IRE,,,,,Kieron Pollard,2011,India,played,West Indies,SJ Benn,4,"""KJ OBrien",4,DS Smith,107,KA Pollard,94
2011-03-24,Ahmedabad,Final,AUS,IND,,,,,Yuvraj Singh,2011,India,played,India,Yuvraj Singh,2,R Ashwin,2,RT Ponting,104,Yuvraj Singh,57
2011-02-25,Nagpur,League-Match,NZ,AUS,,,,,Mitchell Johnson,2011,India,played,Australia,MG Johnson,4,SW Tait,3,SR Watson,62,BJ Haddin,55
2011-03-19,Mirpur,League-Match,SA,BAN,,,,,Lonwabo Tsotsobe,2011,Bangladesh,played,South Africa,RJ Peterson,4,LL Tsotsobe,3,JH Kallis,69,F du Plessis,52
2011-03-03,Mohali,League-Match,SA,NED,,,,,AB de Villiers,2011,India,played,South Africa,Imran Tahir,3,RN ten Doeschate,3,AB de Villiers,134,HM Amla,113
