date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,bowler_one,bowler_one_wicket,bowler_two,bowler_two_wicket,batter_one,batter_one_score,batter_two,batter_two_score
2023-11-07,Wankhede,League-Match,AFG,AUS,,,,,Glenn Maxwell,2023,India,played,Australia,JR Hazlewood,2,Rashid Khan,2,GJ Maxwell,201,Ibrahim Zadran,129
2023-10-08,Chennai,League-Match,AUS,IND,,,,,KL Rahul,2023,India,played,India,RA Jadeja,3,JR Hazlewood,3,KL Rahul,97,V Kohli,85
2023-10-13,Chennai,League-Match,BAN,NZ,,,,,Lockie Ferguson,2023,India,played,New Zealand,LH Ferguson,3,TA Boult,2,DJ Mitchell,89,KS Williamson,78
2023-10-29,Lucknow,League-Match,IND,ENG,,,,,Rohit Sharma,2023,India,played,India,Mohammed Shami,4,DJ Willey,3,RG Sharma,87,SA Yadav,49
2023-11-02,Wankhede,League-Match,IND,SL,,,,,Mohammed Shami,2023,India,played,India,Mohammed Shami,5,D Madushanka,5,Shubman Gill,92,V Kohli,88
2023-10-26,Bengaluru,League-Match,ENG,SL,,,,,Lahiru Kumara,2023,India,played,Sri Lanka,CBRLS Kumara,3,AD Mathews,2,P Nissanka,77,S Samarawickrama,65
2023-10-20,Bengaluru,League-Match,AUS,PAK,,,,,David Warner,2023,India,played,Australia,Shaheen Shah Afridi,5,A Zampa,4,DA Warner,163,MR Marsh,121
2023-10-16,Lucknow,League-Match,SL,AUS,,,,,Adam Zampa,2023,India,played,Australia,A Zampa,4,D Madushanka,3,MDKJ Perera,78,P Nissanka,61
2023-10-23,Chennai,League-Match,PAK,AFG,,,,,Ibrahim Zadran,2023,India,played,Afghanistan,Noor Ahmad,3,Naveen-ul-Haq,2,Ibrahim Zadran,87,Rahmat Shah,77
2023-10-09,Hyderabad,League-Match,NZ,NED,,,,,Mitchell Santner,2023,India,played,New Zealand,MJ Santner,5,MJ Henry,3,WA Young,70,CN Ackermann,69
2023-11-15,Wankhede,Semi-Final,IND,NZ,,,,,Mohammed Shami,2023,India,played,NA,Mohammed Shami,7,TG Southee,3,DJ Mitchell,134,V Kohli,117
2023-10-21,Lucknow,League-Match,NED,SL,,,,,Sadeera Samarawickrama,2023,India,played,Sri Lanka,D Madushanka,4,CAK Rajitha,4,S Samarawickrama,91,SA Engelbrecht,70
2023-11-09,Bengaluru,League-Match,SL,NZ,,,,,Trent Boult,2023,India,played,New Zealand,TA Boult,3,MJ Santner,2,MDKJ Perera,51,DP Conway,45
2023-10-06,Hyderabad,League-Match,PAK,NED,,,,,Saud Shakeel,2023,India,played,Pakistan,BFW de Leede,4,Haris Rauf,3,Saud Shakeel,68,Mohammad Rizwan,68
2023-11-12,Bengaluru,League-Match,IND,NED,,,,,Shreyas Iyer,2023,India,played,India,JJ Bumrah,2,Kuldeep Yadav,2,SS Iyer,128,KL Rahul,102
2023-10-10,Dharamsala,League-Match,ENG,BAN,,,,,Dawid Malan,2023,India,played,England,RJW Topley,4,Mahedi Hasan,4,DJ Malan,140,JE Root,82
